Date,Client Type,Product Name,Unit Price,Product Quantity,Total Price,Payment Type
2025-07-21,Wholesale,Vespa Primavera 150,210000,13,2730000,Transfer
2025-06-07,Retail,SYM Jet X 150,128000,43,5504000,Transfer
2025-06-21,Retail,Benelli 502C,349000,21,7329000,Transfer
2025-08-12,Retail,Honda CRF300L,284900,2,569800,Cash
2025-07-09,Retail,Suzuki GSX-S150,125000,9,1125000,Credit card
2025-06-18,Wholesale,Honda ADV 160,164900,50,8245000,Credit card
2025-06-04,Retail,Yamaha Aerox 155,124000,2,248000,Credit card
2025-08-28,Retail,Suzuki Burgman Street 125,80900,25,2022500,Credit card
2025-07-30,Retail,BMW R nineT,995000,33,32835000,Transfer
2025-06-14,Retail,Moto Guzzi V7 Stone,689000,43,29627000,Transfer
2025-06-09,Retail,CFMoto 650MT,345000,13,4485000,Cash
2025-08-29,Wholesale,Harley-Davidson Street 750,499000,3,1497000,Credit card
2025-07-23,Retail,CFMoto 300SR,165000,19,3135000,Credit card
2025-06-02,Retail,CFMoto 300SR,165000,25,4125000,Cash
2025-08-23,Wholesale,Vespa Primavera 150,210000,11,2310000,Transfer
2025-08-31,Wholesale,Honda Click 125i,80900,31,2507900,Credit card
2025-07-30,Wholesale,Vespa GTS Super 300,398000,9,3582000,Transfer
2025-08-10,Wholesale,Aprilia SR GT 200,219000,10,2190000,Credit card
2025-07-14,Wholesale,Bajaj Dominar 400,199900,7,1399300,Transfer
2025-06-08,Wholesale,Moto Morini X-Cape 650,369000,27,9963000,Cash
2025-07-17,Wholesale,Zontes GK350,269000,4,1076000,Transfer
2025-07-05,Wholesale,Motorstar Xplorer 250R,78900,10,789000,Credit card
,Retail,Vespa Primavera 150,210000,31,6510000,Credit card
2025-08-20,Retail,Kawasaki KLX 230,199000,5,995000,Transfer
2025-07-06,Retail,Bajaj CT125,67900,17,1154300,Transfer
2025-07-20,Wholesale,Honda CBR500R,389000,18,7002000,Cash
2025-06-04,Wholesale,Bajaj CT125,67900,20,1358000,Transfer
2025-06-02,Wholesale,Kawasaki Z400,331000,15,4965000,Transfer
2025-06-06,Retail,Motorstar Xplorer 250R,78900,36,2840400,Credit card
2025-07-24,Wholesale,Rusi Flash 125,48000,9,432000,Credit card
2025-06-04,Retail,Bristol Bobber 650,398000,36,14328000,Credit card
2025-07-24,Retail,CFMoto 300SR,165000,42,6930000,Cash
2025-08-02,Retail,Yamaha Sniper 155,125900,13,1636700,Credit card
2025-06-18,Wholesale,Aprilia SR GT 200,219000,4,876000,Credit card
2025-08-29,Retail,Yamaha FZi 150,99900,46,4595400,Transfer
2025-07-14,Retail,Yamaha NMAX 155,151900,5,759500,Transfer
2025-07-04,Wholesale,Suzuki Raider R150 Fi,119900,5,599500,Credit card
2025-08-13,Retail,Kawasaki Ninja 400,340000,8,2720000,Cash
2025-08-01,Wholesale,Yamaha FZi 150,99900,8,799200,Cash
2025-06-14,Retail,Moto Guzzi V7 Stone,689000,40,27560000,Cash
2025-07-18,Retail,Yamaha Serow 250,299000,31,9269000,Transfer
2025-06-15,Unknown,KTM Duke 200,178000,15,2670000,Cash
2025-08-11,Retail,Suzuki Raider R150 Fi,119900,2,239800,Transfer
2025-08-17,Wholesale,Honda ADV 160,164900,8,1319200,Credit card
2025-08-26,Retail,Moto Morini X-Cape 650,369000,12,4428000,Cash
2025-08-01,Retail,Kawasaki KLX 230,199000,19,3781000,Transfer
2025-07-10,Retail,Bristol Bobber 650,398000,20,7960000,Transfer
2025-08-24,Retail,SYM Jet X 150,128000,17,2176000,Cash
2025-08-19,Retail,Honda CRF300L,284900,17,4843300,Credit card
2025-08-21,Retail,KTM RC 200,198000,7,1386000,Cash
2025-07-23,Wholesale,Yamaha MT-15,178000,6,1068000,Cash
2025-06-24,Retail,Bristol Veloce 500,328000,4,1312000,Credit card
2025-06-26,Retail,Yamaha Serow 250,299000,28,8372000,Transfer
2025-08-28,Wholesale,Bristol Bobber 650,398000,2,796000,Cash
2025-07-30,Retail,Honda CRF300L,284900,7,1994300,Cash
2025-07-11,Retail,Kawasaki KLX 230,199000,6,1194000,Transfer
2025-06-29,Wholesale,KTM Duke 200,534000,7,1246000,Transfer
2025-06-15,Retail,Harley-Davidson Street 750,499000,19,9481000,Transfer
2025-07-15,Retail,Suzuki GSX-S150,125000,19,2375000,Transfer
2025-08-04,Wholesale,CFMoto 650MT,345000,4,1380000,Transfer
2025-08-28,Wholesale,Italjet Dragster 200,289000,10,2890000,Cash
2025-08-10,Wholesale,Yamaha XMAX 300,319000,31,9889000,Transfer
2025-06-09,Retail,KTM 790 Duke,599000,14,8386000,Transfer
2025-08-27,Wholesale,Yamaha NMAX 155,151900,19,2886100,Credit card
2025-06-01,Wholesale,KTM 790 Duke,599000,9,5391000,Transfer
2025-06-08,Wholesale,Bristol Bobber 650,398000,1,398000,Transfer
2025-08-27,Wholesale,Suzuki GSX-S150,125000,14,1750000,Transfer
2025-08-02,Retail,CFMoto 650MT,345000,6,2070000,Cash
2025-06-11,Wholesale,Bristol Bobber 650,398000,22,8756000,Credit card
2025-08-20,Retail,Suzuki Raider R150 Fi,119900,13,1558700,Cash
2025-06-08,Wholesale,Suzuki Burgman Street 125,242700,5,404500,Transfer
2025-07-05,Wholesale,CFMoto 650MT,345000,9,3105000,Cash
2025-07-05,Retail,Keeway RKS 150 Sport,68900,21,1446900,Cash
2025-07-03,Wholesale,CFMoto 300NK,165000,20,3300000,Credit card
2025-06-05,Wholesale,Yamaha FZi 150,99900,17,1698300,Credit card
2025-07-11,Wholesale,KTM 790 Duke,599000,26,15574000,Transfer
2025-06-28,Wholesale,Kawasaki Ninja 400,340000,8,2720000,Unknown
2025-06-07,Retail,Honda CRF300L,284900,2,569800,Transfer
2025-08-12,Retail,Rusi Flash 125,48000,33,1584000,Cash
2025-08-11,Retail,Bristol Veloce 500,984000,12,3936000,Cash
2025-06-12,Retail,BMW G 310 GS,320000,49,15680000,Credit card
2025-07-04,Retail,Yamaha NMAX 155,151900,32,4860800,Credit card
2025-07-03,Retail,Kawasaki KLX 230,199000,13,2587000,Transfer
2025-07-18,Wholesale,Yamaha FZi 150,99900,5,499500,Cash
2025-06-23,Wholesale,Honda Click 125i,80900,7,566300,Credit card
2025-08-01,Wholesale,Vespa Primavera 150,210000,39,8190000,Cash
2025-08-27,Retail,Yamaha Aerox 155,124000,10,1240000,Transfer
2025-07-07,Wholesale,Kawasaki Z400,331000,50,16550000,Cash
2025-07-14,Retail,Moto Guzzi V7 Stone,2067000,4,2756000,Transfer
2025-08-25,Retail,Moto Guzzi V7 Stone,689000,28,19292000,Credit card
2025-08-30,Wholesale,TVS Apache RTR 200 4V,129000,38,4902000,Cash
2025-07-05,Wholesale,SYM Jet X 150,128000,12,1536000,Credit card
2025-08-04,Wholesale,Yamaha XMAX 300,319000,3,957000,Cash
2025-07-17,Retail,Zontes GK350,269000,27,7263000,Transfer
2025-08-17,Retail,Italjet Dragster 200,289000,37,10693000,Cash
2025-06-03,Wholesale,Benelli 502C,349000,13,4537000,Cash
2025-06-01,Retail,Yamaha Sniper 155,377700,8,1007200,Cash
2025-06-05,Wholesale,Bristol Bobber 650,398000,28,11144000,Credit card
2025-08-29,Wholesale,Kawasaki KLX 230,199000,5,995000,Transfer
2025-06-14,Retail,Honda Rebel 1100,650000,1,650000,Transfer
2025-06-27,Wholesale,Honda Click 125i,80900,21,1698900,Cash
2025-06-09,Wholesale,BMW G 310 GS,320000,20,6400000,Credit card
2025-08-18,Retail,KTM RC 200,198000,17,3366000,Transfer
2025-06-15,Retail,CFMoto 300NK,165000,35,5775000,Cash
2025-08-29,Wholesale,Kawasaki Z400,331000,1,331000,Credit card
2025-07-12,Wholesale,Aprilia SR GT 200,219000,10,2190000,Cash
2025-08-16,Wholesale,Yamaha Serow 250,299000,14,4186000,Transfer
2025-07-21,Wholesale,Kawasaki KLX 230,199000,50,9950000,Cash
2025-08-02,Wholesale,SYM Jet X 150,128000,20,2560000,Credit card
2025-07-22,Wholesale,Moto Guzzi V7 Stone,689000,28,19292000,Credit card
2025-06-04,Retail,KTM RC 200,198000,15,2970000,Credit card
2025-06-23,Wholesale,Suzuki Raider R150 Fi,119900,2,239800,Credit card
2025-06-15,Retail,Suzuki Burgman Street 125,80900,10,809000,Credit card
2025-07-13,Retail,Yamaha XSR155,182000,12,2184000,Transfer
2025-06-29,Retail,BMW G 310 GS,320000,19,6080000,Cash
2025-07-06,Wholesale,Vespa Primavera 150,210000,7,1470000,Transfer
2025-06-13,Retail,Moto Guzzi V7 Stone,689000,13,8957000,Cash
2025-07-02,Retail,Kawasaki Ninja 400,340000,25,8500000,Credit card
2025-08-10,Retail,Yamaha Aerox 155,124000,6,744000,Credit card
2025-07-29,Retail,Yamaha NMAX 155,151900,19,2886100,Credit card
2025-08-25,Retail,Rusi Flash 125,48000,23,1104000,Credit card
2025-06-28,Wholesale,Yamaha XSR155,182000,2,364000,Transfer
2025-08-05,Wholesale,KTM Duke 200,178000,9,1602000,Transfer
2025-07-12,Wholesale,Honda Rebel 1100,650000,17,11050000,Transfer
2025-07-15,Wholesale,Suzuki Raider R150 Fi,119900,20,2398000,Credit card
2025-07-25,Retail,Zontes GK350,269000,1,269000,Transfer
2025-07-27,Wholesale,CFMoto 300SR,165000,28,4620000,Cash
2025-06-06,Retail,Yamaha XSR155,182000,20,3640000,Transfer
2025-06-28,Retail,TVS Apache RTR 200 4V,387000,9,1161000,Transfer
2025-06-28,Retail,Rusi Flash 125,48000,48,2304000,Cash
2025-07-14,Retail,CFMoto 300SR,165000,44,7260000,Transfer
2025-08-23,Wholesale,Benelli 502C,349000,15,5235000,Cash
2025-06-30,Retail,Yamaha FZi 150,99900,5,499500,Cash
2025-08-01,Retail,Kawasaki Ninja 400,340000,10,3400000,Transfer
2025-08-14,Retail,Yamaha Aerox 155,124000,19,2356000,Credit card
2025-08-31,Retail,Zontes 310X,248000,13,3224000,Credit card
2025-08-28,Retail,Honda ADV 160,164900,4,659600,Transfer
2025-08-01,Wholesale,BMW R nineT,995000,7,6965000,Credit card
2025-06-01,Retail,Honda CRF300L,284900,32,9116800,Transfer
2025-06-27,Wholesale,CFMoto 300NK,165000,19,3135000,Transfer
2025-08-01,Retail,Yamaha NMAX 155,151900,20,3038000,Cash
2025-08-16,Wholesale,CFMoto 300NK,165000,20,3300000,Transfer
2025-06-03,Retail,CFMoto 300SR,495000,7,1155000,Transfer
2025-08-09,Unknown,Yamaha Sniper 155,125900,8,1007200,Credit card
2025-08-11,Wholesale,Kawasaki Z400,331000,14,4634000,Cash
2025-06-27,Retail,Honda Click 125i,80900,3,242700,Cash
2025-06-09,Wholesale,SYM Husky 150,72900,11,801900,Credit card
2025-08-01,Wholesale,KTM RC 200,198000,3,594000,Cash
2025-07-07,Retail,Kawasaki KLX 230,199000,9,1791000,Cash
2025-07-21,Retail,Italjet Dragster 200,289000,30,8670000,Transfer
2025-07-14,Retail,Suzuki Avenis 125,79900,4,319600,Transfer
2025-06-24,Wholesale,Royal Enfield Classic 350,250000,8,2000000,Credit card
2025-08-18,Retail,Yamaha FZi 150,299700,16,1598400,Credit card
2025-07-29,Retail,Bajaj CT125,67900,13,882700,Transfer
2025-07-02,Retail,Yamaha Serow 250,299000,13,3887000,Transfer
2025-08-27,Retail,KTM Duke 200,178000,38,6764000,Transfer
2025-07-22,Wholesale,Vespa GTS Super 300,398000,44,17512000,Transfer
2025-08-01,Retail,Yamaha XMAX 300,319000,7,2233000,Credit card
2025-07-28,Wholesale,Bajaj CT125,67900,11,746900,Cash
2025-07-22,Wholesale,Yamaha XMAX 300,319000,40,12760000,Cash
2025-06-12,Retail,Benelli 502C,349000,12,4188000,Transfer
2025-07-09,Wholesale,Bajaj CT125,67900,17,1154300,Transfer
2025-06-02,Wholesale,Bristol Bobber 650,398000,32,12736000,Credit card
2025-06-03,Retail,Italjet Dragster 200,289000,11,3179000,Cash
2025-07-26,Retail,KTM RC 200,198000,37,7326000,Credit card
2025-08-20,Retail,Kawasaki KLX 230,199000,17,3383000,Transfer
2025-07-29,Retail,SYM Husky 150,72900,29,2114100,Credit card
2025-06-02,Wholesale,CFMoto 650MT,345000,4,1380000,Cash
2025-06-02,Retail,CFMoto 650MT,345000,10,3450000,Cash
2025-08-31,Retail,Italjet Dragster 200,289000,10,2890000,Cash
2025-07-24,Retail,Yamaha XSR155,182000,10,1820000,Credit card
2025-08-26,Wholesale,Bristol Veloce 500,328000,4,1312000,Credit card
2025-06-01,Unknown,Harley-Davidson Street 750,499000,7,3493000,Cash
2025-01-13,Retail,Bajaj CT125,67900,21,1425900,Cash
2025-06-02,Retail,Moto Morini X-Cape 650,369000,19,7011000,Cash
2025-07-23,Retail,CFMoto 300SR,165000,20,3300000,Credit card
2025-07-14,Wholesale,KTM RC 200,198000,5,990000,Credit card
2025-08-29,Wholesale,Honda ADV 160,164900,17,2803300,Cash
2025-07-02,Wholesale,Bajaj Dominar 400,199900,1,199900,Transfer
2025-08-09,Wholesale,Yamaha Sniper 155,125900,9,1133100,Credit card
2025-07-02,Retail,Yamaha Serow 250,299000,32,9568000,Credit card
2025-08-07,Wholesale,Kawasaki Ninja 400,340000,47,15980000,Credit card
2025-07-25,Wholesale,Bajaj CT125,67900,3,203700,Cash
2025-08-14,Retail,Honda ADV 160,164900,17,2803300,Credit card
2025-07-26,Retail,Suzuki Avenis 125,79900,6,479400,Transfer
2025-06-17,Wholesale,Motorstar Xplorer 250R,78900,43,3392700,Transfer
2025-07-08,Retail,Yamaha Serow 250,299000,6,1794000,Credit card
2025-06-24,Retail,Yamaha XSR155,182000,20,3640000,Transfer
2025-08-08,Wholesale,Honda Rebel 1100,650000,3,1950000,Transfer
2025-08-09,Retail,Vespa Primavera 150,210000,36,7560000,Cash
2025-08-25,Wholesale,Yamaha Aerox 155,124000,15,1860000,Cash
2025-06-11,Retail,Honda Click 125i,80900,38,3074200,Transfer
2025-06-16,Wholesale,Honda Click 125i,80900,16,1294400,Cash
2025-08-12,Wholesale,Yamaha NMAX 155,151900,3,455700,Cash
2025-07-29,Retail,Honda CBR500R,389000,3,1167000,Transfer
2025-08-09,Wholesale,Bajaj Dominar 400,199900,8,1599200,Transfer
2025-08-19,Retail,Harley-Davidson Street 750,499000,4,1996000,Credit card
2025-06-03,Retail,Honda CRF300L,284900,21,5982900,Cash
2025-06-20,Wholesale,Harley-Davidson Street 750,499000,6,2994000,Credit card
2025-07-29,Retail,Keeway RKS 150 Sport,68900,42,2893800,Credit card
2025-07-06,Retail,Zontes 310X,248000,12,2976000,Cash
2025-06-19,Wholesale,KTM RC 200,198000,14,2772000,Unknown
2025-08-29,Retail,Moto Guzzi V7 Stone,689000,20,13780000,Cash
2025-08-06,Unknown,Yamaha Aerox 155,124000,18,2232000,Transfer
2025-06-19,Wholesale,KTM Duke 200,178000,9,1602000,Cash
2025-06-20,Retail,Honda Rebel 1100,650000,1,650000,Credit card
2025-08-10,Retail,Honda ADV 160,164900,14,2308600,Cash
2025-07-22,Retail,Yamaha Serow 250,299000,2,598000,Transfer
2025-07-03,Retail,Benelli 502C,349000,15,5235000,Cash
2025-07-10,Wholesale,Bristol Bobber 650,398000,15,5970000,Cash
2025-07-09,Wholesale,Yamaha Serow 250,299000,6,1794000,Credit card
2025-08-21,Retail,KTM 790 Duke,599000,42,25158000,Credit card
2025-06-01,Retail,KTM 790 Duke,599000,1,599000,Credit card
2025-06-11,Wholesale,Motorstar Xplorer 250R,78900,23,1814700,Transfer
2025-08-31,Retail,Yamaha Serow 250,299000,35,10465000,Cash
2025-07-27,Wholesale,Bajaj Dominar 400,199900,31,6196900,Transfer
2025-08-28,Wholesale,Yamaha Sniper 155,125900,28,3525200,Cash
2025-07-20,Wholesale,Yamaha NMAX 155,151900,17,2582300,Transfer
2025-06-23,Retail,Suzuki Avenis 125,79900,19,1518100,Cash
2025-07-01,Retail,Motorstar Xplorer 250R,78900,19,1499100,Transfer
2025-07-12,Wholesale,CFMoto 650MT,345000,33,11385000,Credit card
2025-06-07,Retail,Kawasaki Ninja 400,340000,5,1700000,Credit card
2025-06-16,Retail,Motorstar Xplorer 250R,78900,5,394500,Transfer
2025-08-29,Wholesale,Aprilia SR GT 200,219000,46,10074000,Credit card
2025-07-30,Wholesale,Yamaha XMAX 300,319000,18,5742000,Cash
2025-06-02,Wholesale,Zontes GK350,269000,11,2959000,Cash
2025-06-01,Wholesale,Keeway RKS 150 Sport,68900,12,826800,Transfer
2025-07-18,Retail,CFMoto 300NK,165000,12,1980000,Credit card
2025-06-12,Retail,CFMoto 300NK,165000,43,7095000,Cash
2025-08-08,Retail,CFMoto 300SR,165000,8,1320000,Transfer
2025-07-07,Retail,Bajaj CT125,67900,1,67900,Credit card
2025-07-02,Retail,Aprilia SR GT 200,219000,3,657000,Transfer
2025-06-09,Retail,Honda CBR500R,389000,21,8169000,Cash
2025-06-19,Wholesale,Yamaha Aerox 155,124000,11,1364000,Credit card
2025-07-18,Wholesale,Yamaha MT-15,178000,14,2492000,Cash
2025-08-19,Wholesale,Royal Enfield Classic 350,250000,2,500000,Transfer
2025-06-03,Retail,Yamaha Sniper 155,125900,17,2140300,Cash
2025-06-20,Retail,Yamaha FZi 150,99900,35,3496500,Cash
2025-06-24,Retail,Motorstar Xplorer 250R,78900,17,1341300,Credit card
2025-07-24,Wholesale,Yamaha MT-15,178000,24,4272000,Transfer
2025-07-03,Retail,Zontes 310X,248000,6,1488000,Transfer
2025-06-24,Retail,KTM Duke 200,178000,12,2136000,Transfer
2025-08-14,Retail,Royal Enfield Classic 350,250000,34,8500000,Transfer
2025-08-11,Wholesale,Honda Rebel 1100,650000,10,6500000,Cash
2025-07-06,Wholesale,Yamaha Aerox 155,124000,9,1116000,Cash
2025-07-08,Wholesale,Honda ADV 160,164900,43,7090700,Cash
2025-08-23,Retail,Moto Guzzi V7 Stone,689000,10,6890000,Cash
2025-08-28,Retail,BMW R nineT,995000,8,7960000,Credit card
2025-06-25,Retail,KTM 790 Duke,599000,33,19767000,Cash
2025-06-18,Retail,Royal Enfield Classic 350,250000,11,2750000,Credit card
2025-08-21,Wholesale,Bajaj Dominar 400,199900,5,999500,Transfer
2025-08-05,Wholesale,Honda Rebel 1100,650000,3,1950000,Credit card
2025-07-24,Retail,Motorstar Xplorer 250R,78900,12,946800,Credit card
2025-07-05,Wholesale,Suzuki GSX-S150,125000,42,5250000,Credit card
2025-08-19,Retail,Suzuki Burgman Street 125,80900,37,2993300,Credit card
2025-07-31,Retail,Bajaj Dominar 400,199900,17,3398300,Cash
2025-07-11,Wholesale,Yamaha Serow 250,299000,27,8073000,Cash
2025-07-03,Wholesale,Moto Morini X-Cape 650,369000,19,7011000,Transfer
2025-08-07,Retail,Moto Guzzi V7 Stone,689000,3,2067000,Credit card
2025-07-03,Wholesale,Yamaha Serow 250,299000,17,5083000,Credit card
2025-06-14,Retail,BMW G 310 GS,320000,16,5120000,Credit card
2025-06-21,Retail,Yamaha Serow 250,299000,19,5681000,Cash
2025-07-18,Wholesale,BMW R nineT,995000,24,23880000,Credit card
2025-06-20,Retail,KTM RC 200,198000,11,2178000,Cash
2025-06-08,Retail,CFMoto 300NK,165000,4,660000,Credit card
2025-06-07,Wholesale,Rusi Flash 125,48000,5,240000,Cash
2025-08-06,Wholesale,TVS Apache RTR 200 4V,129000,3,387000,Credit card
2025-06-17,Retail,Zontes GK350,269000,1,269000,Transfer
2025-07-03,Wholesale,CFMoto 650MT,345000,3,1035000,Unknown
2025-07-18,Retail,Kawasaki KLX 230,199000,20,3980000,Credit card
2025-08-15,Wholesale,BMW G 310 GS,320000,27,8640000,Cash
2025-07-29,Retail,Honda CRF300L,284900,2,569800,Credit card
2025-08-25,Retail,Yamaha Aerox 155,124000,9,1116000,Cash
2025-06-22,Retail,CFMoto 650MT,345000,49,16905000,Cash
2025-06-30,Wholesale,Rusi Flash 125,48000,45,2160000,Credit card
2025-07-08,Wholesale,Keeway RKS 150 Sport,68900,15,1033500,Unknown
2025-07-21,Wholesale,Italjet Dragster 200,289000,2,578000,Transfer
2025-07-24,Retail,Suzuki Raider R150 Fi,119900,9,1079100,Transfer
2025-06-08,Wholesale,Royal Enfield Classic 350,250000,1,250000,Transfer
2025-06-27,Retail,Kawasaki Ninja 400,340000,2,680000,Credit card
2025-06-27,Retail,KTM Duke 200,178000,14,2492000,Cash
2025-06-21,Retail,Bajaj CT125,67900,20,1358000,Credit card
2025-06-30,Retail,Honda Rebel 1100,650000,38,24700000,Transfer
2025-06-28,Retail,Vespa Primavera 150,210000,46,9660000,Credit card
2025-08-03,Retail,Keeway RKS 150 Sport,68900,16,1102400,Credit card
2025-07-31,Retail,Zontes GK350,269000,9,2421000,Credit card
2025-07-31,Wholesale,Bajaj Dominar 400,199900,10,1999000,Cash
2025-07-18,Wholesale,Kawasaki KLX 230,199000,1,199000,Credit card
2025-06-19,Wholesale,Yamaha XMAX 300,319000,10,3190000,Cash
2025-06-04,Retail,CFMoto 650MT,345000,9,3105000,Transfer
2025-07-05,Wholesale,Yamaha Sniper 155,125900,18,2266200,Credit card
2025-08-03,Wholesale,Suzuki Avenis 125,79900,20,1598000,Credit card
2025-07-19,Wholesale,Motorstar Xplorer 250R,78900,32,2524800,Credit card
2025-06-17,Retail,Zontes 310X,248000,15,3720000,Credit card
2025-07-14,Wholesale,Honda Rebel 1100,650000,8,5200000,Cash
2025-08-31,Retail,Bristol Bobber 650,398000,43,17114000,Cash
2025-06-30,Wholesale,Keeway RKS 150 Sport,68900,26,1791400,Transfer
2025-07-16,Wholesale,Suzuki Raider R150 Fi,119900,16,1918400,Transfer
2025-06-06,Retail,Zontes 310X,248000,10,2480000,Cash
2025-07-07,Wholesale,Suzuki Avenis 125,79900,42,3355800,Transfer
2025-06-24,Retail,Honda CBR500R,389000,4,1556000,Credit card
2025-07-16,Wholesale,Zontes GK350,269000,5,1345000,Credit card
2025-07-23,Retail,Bristol Bobber 650,398000,9,3582000,Credit card
2025-07-30,Wholesale,Suzuki GSX-S150,125000,4,500000,Cash
2025-08-02,Wholesale,Kawasaki Ninja 400,340000,4,1360000,Cash
2025-08-24,Wholesale,Aprilia SR GT 200,219000,1,219000,Cash
2025-07-02,Retail,Vespa GTS Super 300,398000,13,5174000,Cash
2025-08-26,Wholesale,Kawasaki KLX 230,199000,50,9950000,Credit card
2025-07-03,Wholesale,Yamaha MT-15,178000,1,178000,Credit card
2025-08-06,Wholesale,Yamaha XMAX 300,319000,7,2233000,Credit card
2025-06-18,Retail,Kawasaki Ninja 400,340000,16,5440000,Transfer
2025-06-25,Wholesale,Husqvarna Svartpilen 401,295000,50,14750000,Credit card
2025-07-24,Wholesale,Honda Click 125i,80900,19,1537100,Cash
2025-07-28,Wholesale,Bajaj Dominar 400,199900,46,9195400,Cash
2025-08-06,Wholesale,Suzuki Avenis 125,79900,13,1038700,Credit card
2025-07-16,Wholesale,Yamaha Serow 250,299000,8,2392000,Credit card
2025-06-24,Wholesale,Yamaha Serow 250,299000,29,8671000,Transfer
2025-07-02,Retail,Bajaj Dominar 400,199900,6,1199400,Credit card
2025-07-17,Wholesale,BMW R nineT,995000,26,25870000,Credit card
2025-08-25,Retail,Honda Rebel 1100,650000,50,32500000,Cash
2025-06-23,Wholesale,Kawasaki KLX 230,199000,8,1592000,Transfer
2025-08-05,Retail,Zontes 310X,248000,18,4464000,Transfer
2025-06-27,Retail,Yamaha XSR155,182000,21,3822000,Cash
2025-06-02,Wholesale,Yamaha MT-15,178000,1,178000,Transfer
2025-08-29,Retail,CFMoto 300NK,165000,15,2475000,Cash
2025-06-17,Wholesale,SYM Jet X 150,128000,15,1920000,Cash
2025-07-03,Retail,Honda CRF300L,284900,12,3418800,Credit card
,Wholesale,Suzuki Burgman Street 125,80900,47,3802300,Credit card
2025-07-13,Wholesale,Husqvarna Svartpilen 401,295000,4,1180000,Transfer
2025-07-18,Retail,Yamaha FZi 150,99900,29,2897100,Cash
2025-07-09,Wholesale,TVS Apache RTR 200 4V,129000,37,4773000,Credit card
2025-07-12,Wholesale,Honda ADV 160,164900,48,7915200,Credit card
2025-06-26,Retail,Vespa GTS Super 300,398000,18,7164000,Credit card
2025-07-20,Retail,Aprilia SR GT 200,219000,7,1533000,Credit card
2025-06-25,Wholesale,Husqvarna Svartpilen 401,295000,12,3540000,Credit card
2025-06-24,Retail,Moto Guzzi V7 Stone,689000,16,11024000,Transfer
2025-06-13,Retail,Zontes GK350,269000,45,12105000,Credit card
2025-07-30,Wholesale,Yamaha MT-15,534000,5,890000,Credit card
